Titulación,Símbolo
Grado En Arqueología	&#9935;
Grado En Bellas Artes	&#128396;
Grado En Conservación Y Restauración De Bienes Cultural	&#9814;
Grado En Estudios Franceses	&#66374;
Grado En Estudios Ingleses	&#66356;
Grado En Estudios Árabes E Islámicos	&#128331;
Grado En Filología Clásica	&#937;
Grado En Filología Hispánica	&#209;
Grado En Filosofía	&#127963;
Grado En Historia	&#128511;
Grado En Historia Del Arte	&#127963;
Grado En Historia Y Ciencias De La Música	&#127932;
Grado En Lenguas Modernas Y Sus Literaturas	&#127887;
Grado En Literaturas Comparadas	&#128218;
Grado En Traducción E Interpretación	&#128490;
Licenciado En Antropología Social Y Cultural	&#127886;
Licenciado En Bellas Artes	&#128396;
Licenciado En Filología Clásica	&#937;
Licenciado En Filología Eslava,
Licenciado En Filología Francesa	&#66374;
Licenciado En Filología Hispánica	&#209;
Licenciado En Filología Inglesa	&#66356;
Licenciado En Filología Italiana	&#128483;
Licenciado En Filología Románica	&#66370;
Licenciado En Filología Árabe	&#9770;
Licenciado En Filosofía	&#127963;
Licenciado En Geografía	&#128506;
Licenciado En Historia	&#127963;
Licenciado En Historia Del Arte	&#128444;
Licenciado En Historia Y Ciencias De La Musica	&#127929;
Licenciado En Teoría De La Literatura Y Literatura Comparada	
Licenciado En Traducción E Interpretación	
Diplomado En Estadística	&#128202;
Diplomado En Nutrición Humana Y Dietética	&#127860;
Diplomado En Óptica Y Optometría	&#128064;
Grado En Biología	&#128029;
Grado En Bioquímica	&#9763;
Grado En Biotecnología	&#128062;
Grado En Ciencia Y Tecnología De Los Alimentos	&#127858;
Grado En Ciencias Ambientales	&#127969;
Grado En Estadística	
Grado En Física	&#127755;
Grado En Geología	&#127759;
Grado En Matemáticas	&#128425;
Grado En Química	&#128300;
Grado En Óptica Y Optometría	
Licenciado En Biología	&#128375;
Licenciado En Bioquímica	&#9763;
Licenciado En Ciencia Y Tecnología De Los Alimentos	&#127858;
Licenciado En Ciencias Ambientales	&#127969;
Licenciado En Ciencias Y Técnicas Estadísticas	&#128200;
Licenciado En Física	&#9791;
Licenciado En Geología	&#127748;
Licenciado En Matemáticas	&#128425;
Licenciado En Química	&#128300;
Diplomado En Biblioteconomía Y Documentación	&#128209;
Diplomado En Ciencias Empresariales	&#128177;
Diplomado En Educación Social	&#127890;
Diplomado En Relaciones Laborales	&#128447;
Diplomado En Trabajo Social	&#128106;
Diplomado En Turismo	&#128248;
Grado En Administración Y Dirección De Empresas	&#128201;
Grado En Administración Y Dirección De Empresas-Derecho	&#128201;
Grado En Antropología Social Y Cultural	&#128113;
Grado En Ciencias De La Actividad Física Y Del Deporte	&#127939;
Grado En Ciencias Políticas Y De La Administración Y Derecho	&#128506;	
Grado En Ciencias Políticas Y De La Administración	&#128506;
Grado En Comunicación Audiovisual	&#128249;
Grado En Criminología	&#128299;
Grado En Derecho	&#9878;
Grado En Economía	&#128177;
Grado En Educación Infantil	
Grado En Educación Primaria,
Grado En Educación Social,
Grado En Finanzas Y Contabilidad,
Grado En Geografía Y Gestión Del Territorio,
Grado En Información Y Documentación,
Grado En Marketing E Investigación De Mercados,
Grado En Pedagogía,
Grado En Relaciones Laborales Y Recursos Humanos,
Grado En Sociología,
Grado En Trabajo Social,
Grado En Turismo,
Licenciado En Administración Y Dirección De Empresas Y Derecho,
Licenciado En Administración Y Dirección De Empresas,
Licenciado En Ciencias De La Actividad Física Y Del Deporte,
Licenciado En Ciencias Del Trabajo,
Licenciado En Ciencias Políticas Y De La Administración,
Licenciado En Ciencias Políticas Y De La Administración Y Derecho,
Licenciado En Comunicación Audiovisual,
Licenciado En Derecho,
Licenciado En Documentación,
Licenciado En Economía,
Licenciado En Investigación Y Técnicas De Mercado,
Licenciado En Pedagogía,
Licenciado En Psicología,
Licenciado En Psicopedagogía,
Licenciado En Sociología,
Maestro-Especialidad De Audición Y Lenguaje,
Maestro-Especialidad De Audición Y Lenguaje,
Maestro-Especialidad De Educación Especial,
Maestro-Especialidad De Educación Especial,
Maestro-Especialidad De Educación Física,
Maestro-Especialidad De Educación Física,
Maestro-Especialidad De Educación Infantil,
Maestro-Especialidad De Educación Infantil,
Maestro-Especialidad De Educación Musical, &#127926
Maestro-Especialidad De Educación Musical,
Maestro-Especialidad De Educación Primaria,
Maestro-Especialidad De Educación Primaria,
Maestro-Especialidad De Lengua Extranjera,
Maestro-Especialidad De Lengua Extranjera,
Arquitecto,&#9963;
Arquitectura Técnica,&#127959
Grado En Arquitectura,
Grado En Edificación,
Grado En Ingeniería Civil,
Grado En Ingeniería De Tecnologías De Telecomunicación,
Grado En Ingeniería Electrónica Industrial,&#9889;
Grado En Ingeniería Informática,&#128189;
Grado En Ingeniería Informática Y Matemáticas,
Grado En Ingeniería Química,
Ingeniero De Telecomunicación,&#128246;
Ingeniero En Electrónica,&#9889;
Ingeniero En Informática,&#128189;
Ingeniero Químico,&#128300;
Ingeniero Técnico En Informática De Gestión,
Ingeniero Técnico En Informática De Sistemas,
"Ingeniero De Caminos, Canales Y Puertos",&#9942;
Diplomado En Enfermería,
Diplomado En Fisioterapia,
Diplomado En Logopedia,&#128483;
Diplomado En Terapia Ocupacional,
Grado En Enfermería,
Grado En Farmacia,
Grado En Fisioterapia,
Grado En Logopedia,
Grado En Medicina,
Grado En Nutrición Humana Y Dietética,
Grado En Odontología,
Grado En Psicología,
Grado En Terapia Ocupacional,
Licenciado En Farmacia,
Licenciado En Medicina,
Licenciado En Odontología,
