"Titulación","Hombres","Mujeres","Total",
"Grado En Farmacia",574,1268,1842,
"Grado En Fisioterapia",121,139,260,
"Grado En Logopedia",31,249,280,
"Grado En Medicina",492,844,1336,
"Grado En Nutrición Humana Y Dietética",107,303,410,
"Grado En Odontología",144,274,418,
"Grado En Psicología",360,1072,1432,
"Grado En Terapia Ocupacional",58,187,245,
"Licenciado En Farmacia",152,326,478,
"Licenciado En Medicina",145,217,362,
"Licenciado En Odontología",6,4,10,
